Year,Month,Day,Hora(utc),Altura(mm)
2016,2,25,7,962
2016,2,25,8,1276
2016,2,25,9,1483
2016,2,25,10,1520
2016,2,25,11,1391
2016,2,25,12,1149
2016,2,25,13,860
2016,2,25,14,591
2016,2,25,15,407
2016,2,25,16,345
2016,2,25,17,401
2016,2,25,18,559
2016,2,25,19,798
2016,2,25,20,1059
2016,2,25,21,1252
2016,2,25,22,1309
2016,2,25,23,1222
2016,2,26,0,1035
2016,2,26,1,800
2016,2,26,2,568
2016,2,26,3,408
2016,2,26,4,365
2016,2,26,5,441
2016,2,26,6,614
2016,2,26,7,863
2016,2,26,8,1138
2016,2,26,9,1349
2016,2,26,10,1423
2016,2,26,11,1345
2016,2,26,12,1151
2016,2,26,13,900
2016,2,26,14,651
2016,2,26,15,462
2016,2,26,16,372
2016,2,26,17,388
2016,2,26,18,493
2016,2,26,19,678
2016,2,26,20,914
2016,2,26,21,1130
2016,2,26,22,1246
2016,2,26,23,1234
2016,2,27,0,1118
2016,2,27,1,944
2016,2,27,2,755
2016,2,27,3,599
2016,2,27,4,525
2016,2,27,5,552
2016,2,27,6,659
2016,2,27,7,831
2016,2,27,8,1044
2016,2,27,9,1236
2016,2,27,10,1330
2016,2,27,11,1292
2016,2,27,12,1140
2016,2,27,13,924
2016,2,27,14,698
2016,2,27,15,512
2016,2,27,16,403
2016,2,27,17,387
2016,2,27,18,454
2016,2,27,19,588
2016,2,27,20,779
2016,2,27,21,988
2016,2,27,22,1145
2016,2,27,23,1198
2016,2,28,0,1152
2016,2,28,1,1041
2016,2,28,2,904
2016,2,28,3,775
2016,2,28,4,691
2016,2,28,5,681
2016,2,28,6,740
2016,2,28,7,849
2016,2,28,8,994
2016,2,28,9,1146
2016,2,28,10,1243
2016,2,28,11,1237
2016,2,28,12,1127
2016,2,28,13,948
2016,2,28,14,746
2016,2,28,15,566
2016,2,28,16,444
2016,2,28,17,398
2016,2,28,18,426
2016,2,28,19,516
2016,2,28,20,659
2016,2,28,21,836
2016,2,28,22,1004
2016,2,28,23,1110
2016,2,29,0,1134
2016,2,29,1,1092
2016,2,29,2,1013
2016,2,29,3,925
2016,2,29,4,855
2016,2,29,5,823
2016,2,29,6,840
2016,2,29,7,897
2016,2,29,8,981
2016,2,29,9,1078
2016,2,29,10,1157
2016,2,29,11,1172
2016,2,29,12,1106
2016,2,29,13,974
2016,2,29,14,806
2016,2,29,15,638
2016,2,29,16,508
2016,2,29,17,433
2016,2,29,18,418
2016,2,29,19,460
2016,2,29,20,551
2016,2,29,21,682
2016,2,29,22,832
2016,2,29,23,967
